dark_slate_gray,"Dark Slate Gray",#2f4f4f
dark_spring_green,"Dark Spring Green",#177245
dark_tan,"Dark Tan",#918151
dark_tangerine,"Dark Tangerine",#ffa812
dark_taupe,"Dark Taupe",#483c32
dark_terra_cotta,"Dark Terra Cotta",#cc4e5c
dark_turquoise,"Dark Turquoise",#00ced1
dark_violet,"Dark Violet",#9400d3
dark_yellow,"Dark Yellow",#9b870c
dartmouth_green,"Dartmouth Green",#00703c
davy_s_grey,"Davy'S Grey",#555
debian_red,"Debian Red",#d70a53
deep_carmine,"Deep Carmine",#a9203e
deep_carmine_pink,"Deep Carmine Pink",#ef3038
deep_carrot_orange,"Deep Carrot Orange",#e9692c
deep_cerise,"Deep Cerise",#da3287
deep_champagne,"Deep Champagne",#fad6a5
deep_chestnut,"Deep Chestnut",#b94e48
deep_coffee,"Deep Coffee",#704241
deep_fuchsia,"Deep Fuchsia",#c154c1
deep_jungle_green,"Deep Jungle Green",#004b49
deep_lilac,"Deep Lilac",#95b
deep_magenta,"Deep Magenta",#c0c
deep_peach,"Deep Peach",#ffcba4
deep_pink,"Deep Pink",#ff1493
deep_ruby,"Deep Ruby",#843f5b
deep_saffron,"Deep Saffron",#f93
deep_sky_blue,"Deep Sky Blue",#00bfff
deep_tuscan_red,"Deep Tuscan Red",#66424d
denim,"Denim",#1560bd
desert,"Desert",#c19a6b
desert_sand,"Desert Sand",#edc9af
dim_gray,"Dim Gray",#696969
dodger_blue,"Dodger Blue",#1e90ff
dogwood_rose,"Dogwood Rose",#d71868
dollar_bill,"Dollar Bill",#85bb65
drab,"Drab",#967117
duke_blue,"Duke Blue",#00009c
earth_yellow,"Earth Yellow",#e1a95f
ebony,"Ebony",#555d50
ecru,"Ecru",#c2b280
eggplant,"Eggplant",#614051
eggshell,"Eggshell",#f0ead6
egyptian_blue,"Egyptian Blue",#1034a6
electric_blue,"Electric Blue",#7df9ff
electric_crimson,"Electric Crimson",#ff003f
electric_cyan,"Electric Cyan",#0ff
electric_green,"Electric Green",#0f0
electric_indigo,"Electric Indigo",#6f00ff
electric_lavender,"Electric Lavender",#f4bbff
electric_lime,"Electric Lime",#cf0
electric_purple,"Electric Purple",#bf00ff
electric_ultramarine,"Electric Ultramarine",#3f00ff
electric_violet,"Electric Violet",#8f00ff
electric_yellow,"Electric Yellow",#ff0
emerald,"Emerald",#50c878
english_lavender,"English Lavender",#b48395
eton_blue,"Eton Blue",#96c8a2
fallow,"Fallow",#c19a6b
falu_red,"Falu Red",#801818
fandango,"Fandango",#b53389
fashion_fuchsia,"Fashion Fuchsia",#f400a1
fawn,"Fawn",#e5aa70
feldgrau,"Feldgrau",#4d5d53
fern_green,"Fern Green",#4f7942
ferrari_red,"Ferrari Red",#ff2800
field_drab,"Field Drab",#6c541e
fire_engine_red,"Fire Engine Red",#ce2029
firebrick,"Firebrick",#b22222
flame,"Flame",#e25822
flamingo_pink,"Flamingo Pink",#fc8eac
flavescent,"Flavescent",#f7e98e
flax,"Flax",#eedc82
floral_white,"Floral White",#fffaf0
fluorescent_orange,"Fluorescent Orange",#ffbf00
fluorescent_pink,"Fluorescent Pink",#ff1493
fluorescent_yellow,"Fluorescent Yellow",#cf0
folly,"Folly",#ff004f
forest_green_traditional,"Forest Green (Traditional)",#014421
forest_green_web,"Forest Green (Web)",#228b22
french_beige,"French Beige",#a67b5b
french_blue,"French Blue",#0072bb
french_lilac,"French Lilac",#86608e
french_lime,"French Lime",#cf0
french_raspberry,"French Raspberry",#c72c48
french_rose,"French Rose",#f64a8a
fuchsia,"Fuchsia",#f0f
fuchsia_crayola,"Fuchsia (Crayola)",#c154c1
fuchsia_pink,"Fuchsia Pink",#f7f
fuchsia_rose,"Fuchsia Rose",#c74375
fulvous,"Fulvous",#e48400
fuzzy_wuzzy,"Fuzzy Wuzzy",#c66
gainsboro,"Gainsboro",#dcdcdc
gamboge,"Gamboge",#e49b0f
ghost,"Ghost",#c8ccd9
ghost_white,"Ghost White",#f8f8ff
ginger,"Ginger",#b06500
glade_green,"Glade Green",#618b58
glaucous,"Glaucous",#6082b6
glitter,"Glitter",#e6e8fa
gold_metallic,"Gold (Metallic)",#d4af37
golden_bell,"Golden Bell",#e78511
gold_web_golden,"Gold (Web) (Golden)",#ffd700
golden_brown,"Golden Brown",#996515
golden_sand,"Golden Sand",#eede6b
golden_poppy,"Golden Poppy",#fcc200
golden_yellow,"Golden Yellow",#ffdf00
goldenrod,"Goldenrod",#daa520
granny_smith_apple,"Granny Smith Apple",#a8e4a0
gray_medium,"Gray (Medium)",#999999
gray,"Gray",#808080
gray_asparagus,"Gray-Asparagus",#465945
gray_html_css_gray,"Gray (Html/Css Gray)",#808080
gray_x11_gray,"Gray (X11 Gray)",#bebebe
green,"Green",#0f0
green_crayola,"Green (Crayola)",#1cac78
green_html_css_green,"Green (Html/Css Green)",#008000
green_munsell,"Green (Munsell)",#00a877
green_ncs,"Green (Ncs)",#009f6b
green_pigment,"Green (Pigment)",#00a550
green_ryb,"Green (Ryb)",#66b032
green_yellow,"Green-Yellow",#adff2f
grullo,"Grullo",#a99a86
guppie_green,"Guppie Green",#00ff7f
halay_be,"Halayà úBe",#663854
han_blue,"Han Blue",#446ccf
han_purple,"Han Purple",#5218fa
hansa_yellow,"Hansa Yellow",#e9d66b
harlequin,"Harlequin",#3fff00
harvard_crimson,"Harvard Crimson",#c90016
harvest_gold,"Harvest Gold",#da9100
heart_gold,"Heart Gold",#808000
heliotrope,"Heliotrope",#df73ff
highland,"Highland",#628c57
hollywood_cerise,"Hollywood Cerise",#f400a1
honeydew,"Honeydew",#f0fff0
honolulu_blue,"Honolulu Blue",#007fbf
hooker_green,"Hooker Green",#49796b
hot_magenta,"Hot Magenta",#ff1dce
hot_pink,"Hot Pink",#ff69b4
hunter_green,"Hunter Green",#355e3b
iceberg,"Iceberg",#71a6d2
icterine,"Icterine",#fcf75e
imperial_blue,"Imperial Blue",#002395
inchworm,"Inchworm",#b2ec5d
india_green,"India Green",#138808
indian_red,"Indian Red",#cd5c5c
indian_yellow,"Indian Yellow",#e3a857
indigo,"Indigo",#6f00ff
indigo_dye,"Indigo (Dye)",#00416a
indigo_web,"Indigo (Web)",#4b0082
international_klein_blue,"International Klein Blue",#002fa7
international_orange_aerospace,"International Orange (Aerospace)",#ff4f00
international_orange_engineering,"International Orange (Engineering)",#ba160c
international_orange_golden_gate_bridge,"International Orange (Golden Gate Bridge)",#c0362c
iris,"Iris",#5a4fcf
isabelline,"Isabelline",#f4f0ec
islamic_green,"Islamic Green",#009000
ivory,"Ivory",#fffff0
jade,"Jade",#00a86b
jasmine,"Jasmine",#f8de7e
jasper,"Jasper",#d73b3e
jazzberry_jam,"Jazzberry Jam",#a50b5e
jet,"Jet",#343434
jonquil,"Jonquil",#fada5e
june_bud,"June Bud",#bdda57
jungle_green,"Jungle Green",#29ab87
kelly_green,"Kelly Green",#4cbb17
kenyan_copper,"Kenyan Copper",#7c1c05
khaki_html_css_khaki,"Khaki (Html/Css) (Khaki)",#c3b091
khaki_x11_light_khaki,"Khaki (X11) (Light Khaki)",#f0e68c
ku_crimson,"Ku Crimson",#e8000d
la_salle_green,"La Salle Green",#087830
languid_lavender,"Languid Lavender",#d6cadd
lapis_lazuli,"Lapis Lazuli",#26619c
laser_lemon,"Laser Lemon",#fefe22
laurel_green,"Laurel Green",#a9ba9d
lava,"Lava",#cf1020
lavender_blue,"Lavender Blue",#ccf
lavender_blush,"Lavender Blush",#fff0f5
lavender_floral,"Lavender (Floral)",#b57edc
lavender_gray,"Lavender Gray",#c4c3d0
lavender_indigo,"Lavender Indigo",#9457eb
lavender_magenta,"Lavender Magenta",#ee82ee
lavender_mist,"Lavender Mist",#e6e6fa
lavender_pink,"Lavender Pink",#fbaed2
lavender_purple,"Lavender Purple",#967bb6
lavender_rose,"Lavender Rose",#fba0e3
lavender_web,"Lavender (Web)",#e6e6fa
lawn_green,"Lawn Green",#7cfc00
lemon,"Lemon",#fff700
lemon_chiffon,"Lemon Chiffon",#fffacd
lemon_lime,"Lemon Lime",#e3ff00
licorice,"Licorice",#1a1110
light_apricot,"Light Apricot",#fdd5b1
light_blue,"Light Blue",#add8e6
light_brown,"Light Brown",#b5651d
light_carmine_pink,"Light Carmine Pink",#e66771
light_coral,"Light Coral",#f08080
light_cornflower_blue,"Light Cornflower Blue",#93ccea
light_crimson,"Light Crimson",#f56991
light_cyan,"Light Cyan",#e0ffff
light_fuchsia_pink,"Light Fuchsia Pink",#f984ef
light_goldenrod_yellow,"Light Goldenrod Yellow",#fafad2
light_gray,"Light Gray",#d3d3d3
light_green,"Light Green",#90ee90
light_khaki,"Light Khaki",#f0e68c
light_pastel_purple,"Light Pastel Purple",#b19cd9
light_pink,"Light Pink",#ffb6c1
light_red_ochre,"Light Red Ochre",#e97451
light_salmon,"Light Salmon",#ffa07a
light_salmon_pink,"Light Salmon Pink",#f99
light_sea_green,"Light Sea Green",#20b2aa
light_sky_blue,"Light Sky Blue",#87cefa
light_slate_gray,"Light Slate Gray",#789
light_taupe,"Light Taupe",#b38b6d
light_thulian_pink,"Light Thulian Pink",#e68fac
light_yellow,"Light Yellow",#ffffe0
lilac,"Lilac",#c8a2c8
lime_color_wheel,"Lime (Color Wheel)",#bfff00
lime_green,"Lime Green",#32cd32
lime_web_x11_green,"Lime (Web) (X11 Green)",#0f0
limerick,"Limerick",#9dc209
lincoln_green,"Lincoln Green",#195905
linen,"Linen",#faf0e6
lion,"Lion",#c19a6b
little_boy_blue,"Little Boy Blue",#6ca0dc
liver,"Liver",#534b4f
lust,"Lust",#e62020
magenta,"Magenta",#f0f
magenta_dye,"Magenta (Dye)",#ca1f7b
magenta_process,"Magenta (Process)",#ff0090
magic_mint,"Magic Mint",#aaf0d1
magnolia,"Magnolia",#f8f4ff
mahogany,"Mahogany",#c04000
maize,"Maize",#fbec5d
majorelle_blue,"Majorelle Blue",#6050dc
malachite,"Malachite",#0bda51
manatee,"Manatee",#979aaa
mango_tango,"Mango Tango",#ff8243
mantis,"Mantis",#74c365
mardi_gras,"Mardi Gras",#880085
maroon_crayola,"Maroon (Crayola)",#c32148
maroon_html_css,"Maroon (Html/Css)",#800000
maroon_x11,"Maroon (X11)",#b03060
mauve,"Mauve",#e0b0ff
mauve_taupe,"Mauve Taupe",#915f6d
mauvelous,"Mauvelous",#ef98aa
maya_blue,"Maya Blue",#73c2fb
meadow,"Meadow",#598234
meat_brown,"Meat Brown",#e5b73b
medium_aquamarine,"Medium Aquamarine",#6da
medium_blue,"Medium Blue",#0000cd
medium_candy_apple_red,"Medium Candy Apple Red",#e2062c
medium_carmine,"Medium Carmine",#af4035
medium_champagne,"Medium Champagne",#f3e5ab
medium_electric_blue,"Medium Electric Blue",#035096
medium_jungle_green,"Medium Jungle Green",#1c352d
medium_lavender_magenta,"Medium Lavender Magenta",#dda0dd
medium_orchid,"Medium Orchid",#ba55d3
medium_persian_blue,"Medium Persian Blue",#0067a5
medium_purple,"Medium Purple",#9370db
medium_red_violet,"Medium Red-Violet",#bb3385
medium_ruby,"Medium Ruby",#aa4069
medium_sea_green,"Medium Sea Green",#3cb371
medium_slate_blue,"Medium Slate Blue",#7b68ee
medium_spring_bud,"Medium Spring Bud",#c9dc87
medium_spring_green,"Medium Spring Green",#00fa9a
medium_taupe,"Medium Taupe",#674c47
medium_turquoise,"Medium Turquoise",#48d1cc
medium_tuscan_red,"Medium Tuscan Red",#79443b
medium_vermilion,"Medium Vermilion",#d9603b
medium_violet_red,"Medium Violet-Red",#c71585
mellow_apricot,"Mellow Apricot",#f8b878
mellow_yellow,"Mellow Yellow",#f8de7e
melon,"Melon",#fdbcb4
midnight_blue,"Midnight Blue",#191970
midnight_green_eagle_green,"Midnight Green (Eagle Green)",#004953
mikado_yellow,"Mikado Yellow",#ffc40c
mint,"Mint",#3eb489
mint_cream,"Mint Cream",#f5fffa
mint_green,"Mint Green",#98ff98
misty_rose,"Misty Rose",#ffe4e1
moccasin,"Moccasin",#faebd7
mode_beige,"Mode Beige",#967117
moonstone_blue,"Moonstone Blue",#73a9c2
mordant_red_19,"Mordant Red 19",#ae0c00
moss,"Moss",#aebd38
moss_green,"Moss Green",#addfad
mountain_meadow,"Mountain Meadow",#30ba8f
mountbatten_pink,"Mountbatten Pink",#997a8d
msu_green,"Msu Green",#18453b
mulberry,"Mulberry",#c54b8c
mustard,"Mustard",#ffdb58
myrtle,"Myrtle",#21421e
nadeshiko_pink,"Nadeshiko Pink",#f6adc6
napier_green,"Napier Green",#2a8000
naples_yellow,"Naples Yellow",#fada5e
navajo_white,"Navajo White",#ffdead
navy_blue,"Navy Blue",#000080
neon_carrot,"Neon Carrot",#ffa343
neon_fuchsia,"Neon Fuchsia",#fe4164
neon_green,"Neon Green",#39ff14
nepal,"Nepal",#91acbe
new_york_pink,"New York Pink",#d7837f
non_photo_blue,"Non-Photo Blue",#a4dded
north_texas_green,"North Texas Green",#059033
ocean_boat_blue,"Ocean Boat Blue",#0077be
ochre,"Ochre",#c72
office_green,"Office Green",#008000
old_gold,"Old Gold",#cfb53b
old_lace,"Old Lace",#fdf5e6
old_lavender,"Old Lavender",#796878
old_mauve,"Old Mauve",#673147
old_rose,"Old Rose",#c08081
olive,"Olive",#808000
olive_drab_7,"Olive Drab #7",#3c341f
olive_drab_web_olive_drab_3,"Olive Drab (Web) (Olive Drab #3)",#6b8e23
olivine,"Olivine",#9ab973
onyx,"Onyx",#353839
opera_mauve,"Opera Mauve",#b784a7
orange,"Orange",#ff7f00
orange_peel,"Orange Peel",#ff9f00
orange_red,"Orange-Red",#ff4500
orange_ryb,"Orange (Ryb)",#fb9902
orange_web_color,"Orange (Web Color)",#ffa500
orchid,"Orchid",#da70d6
otter_brown,"Otter Brown",#654321
ou_crimson_red,"Ou Crimson Red",#900
outer_space,"Outer Space",#414a4c
outrageous_orange,"Outrageous Orange",#ff6e4a
oxford_blue,"Oxford Blue",#002147
pakistan_green,"Pakistan Green",#060
palatinate_blue,"Palatinate Blue",#273be2
palatinate_purple,"Palatinate Purple",#682860
pale_aqua,"Pale Aqua",#bcd4e6
pale_blue,"Pale Blue",#afeeee
pale_brown,"Pale Brown",#987654
pale_carmine,"Pale Carmine",#af4035
pale_cerulean,"Pale Cerulean",#9bc4e2
pale_chestnut,"Pale Chestnut",#ddadaf
pale_copper,"Pale Copper",#da8a67
pale_cornflower_blue,"Pale Cornflower Blue",#abcdef
pale_gold,"Pale Gold",#e6be8a
pale_goldenrod,"Pale Goldenrod",#eee8aa
pale_green,"Pale Green",#98fb98
pale_lavender,"Pale Lavender",#dcd0ff
pale_magenta,"Pale Magenta",#f984e5
pale_pink,"Pale Pink",#fadadd
pale_plum,"Pale Plum",#dda0dd
pale_red_violet,"Pale Red-Violet",#db7093
pale_robin_egg_blue,"Pale Robin Egg Blue",#96ded1
pale_silver,"Pale Silver",#c9c0bb
pale_spring_bud,"Pale Spring Bud",#ecebbd
pale_taupe,"Pale Taupe",#bc987e
pale_violet_red,"Pale Violet-Red",#db7093
pampas,"Pampas",#f5f4f1
pansy_purple,"Pansy Purple",#78184a
papaya_whip,"Papaya Whip",#ffefd5
paris_green,"Paris Green",#50c878
pastel_blue,"Pastel Blue",#aec6cf
pastel_brown,"Pastel Brown",#836953
pastel_gray,"Pastel Gray",#cfcfc4
pastel_green,"Pastel Green",#7d7
pastel_magenta,"Pastel Magenta",#f49ac2
pastel_orange,"Pastel Orange",#ffb347
pastel_pink,"Pastel Pink",#dea5a4
pastel_purple,"Pastel Purple",#b39eb5
pastel_red,"Pastel Red",#ff6961
pastel_violet,"Pastel Violet",#cb99c9
pastel_yellow,"Pastel Yellow",#fdfd96
patriarch,"Patriarch",#800080
payne_s_grey,"Payne'S Grey",#536878
peach,"Peach",#ffe5b4
peach_crayola,"Peach (Crayola)",#ffcba4
peach_orange,"Peach-Orange",#fc9
peach_puff,"Peach Puff",#ffdab9
peach_yellow,"Peach-Yellow",#fadfad
pear,"Pear",#d1e231
pearl,"Pearl",#eae0c8
pearl_aqua,"Pearl Aqua",#88d8c0
pearly_purple,"Pearly Purple",#b768a2
peridot,"Peridot",#e6e200
periwinkle,"Periwinkle",#ccf
persian_blue,"Persian Blue",#1c39bb
persian_green,"Persian Green",#00a693
persian_indigo,"Persian Indigo",#32127a
persian_orange,"Persian Orange",#d99058
persian_pink,"Persian Pink",#f77fbe
persian_plum,"Persian Plum",#701c1c
persian_red,"Persian Red",#c33
persian_rose,"Persian Rose",#fe28a2
persimmon,"Persimmon",#ec5800
peru,"Peru",#cd853f
phlox,"Phlox",#df00ff
phthalo_blue,"Phthalo Blue",#000f89
phthalo_green,"Phthalo Green",#123524
piggy_pink,"Piggy Pink",#fddde6
pine_green,"Pine Green",#01796f
pink,"Pink",#ffc0cb
pink_lace,"Pink Lace",#ffddf4
pink_orange,"Pink-Orange",#f96
pink_pearl,"Pink Pearl",#e7accf
pink_sherbet,"Pink Sherbet",#f78fa7
pistachio,"Pistachio",#93c572
platinum,"Platinum",#e5e4e2
plum_traditional,"Plum (Traditional)",#8e4585
plum_web,"Plum (Web)",#dda0dd
pomegranate,"Pomegranate",#f44336
porsche,"Porsche",#f0bc6f
portland_orange,"Portland Orange",#ff5a36
powder_blue_web,"Powder Blue (Web)",#b0e0e6
princeton_orange,"Princeton Orange",#ff8f00
prune,"Prune",#701c1c
prussian_blue,"Prussian Blue",#003153
psychedelic_purple,"Psychedelic Purple",#df00ff
puce,"Puce",#c89
pumpkin,"Pumpkin",#ff7518
purple,"Purple",#9c27b0
purple_heart,"Purple Heart",#69359c
purple_html_css,"Purple (Html/Css)",#800080
purple_mountain_majesty,"Purple Mountain Majesty",#9678b6
purple_munsell,"Purple (Munsell)",#9f00c5
purple_pizzazz,"Purple Pizzazz",#fe4eda
